rule_id,file_path,line_number,matched_text,crypto_family,usage_category,severity,confidence,risk_score,risk_level,reason,recommendation
ecc_ecdsa_ecdh_reference,README.md,4,ECDSA,ECC,signing_key_agreement,high,high,50,medium,ECC signatures and ECDH key agreement are quantum-vulnerable public-key cryptography.,Identify protocol owners and track standards-approved PQC or hybrid replacements for signing and key agreement.
ssh_classical_key_reference,README.md,4,ssh-rsa,SSH public-key cryptography,ssh,high,high,57,medium,SSH host and user keys are authentication assets that may need algorithm migration.,"Inventory host/user key locations, rotate away from legacy algorithms where possible, and track PQC SSH support."
rsa_tls_cert_config,auth_service.py,4,rsa,RSA,tls_certificate,high,high,95,critical,TLS certificates and RSA-authenticated ciphersuites are priority assets for PQC transition planning.,"Inventory certificate issuers, validity windows, renewal automation, and hybrid/PQC certificate roadmap."
jwt_classical_algorithms,auth_service.py,6,JWT_ALGORITHM,JWT public-key signatures,jwt_signing,high,high,100,critical,JWT signing algorithms protect authentication and authorization tokens and are high-priority migration inventory.,"Identify issuers, verifiers, key rotation flows, and standards-compatible PQC or hybrid token signing options."
jwt_classical_algorithms,auth_service.py,6,RS256,JWT public-key signatures,jwt_signing,high,high,100,critical,JWT signing algorithms protect authentication and authorization tokens and are high-priority migration inventory.,"Identify issuers, verifiers, key rotation flows, and standards-compatible PQC or hybrid token signing options."
ecc_ecdsa_ecdh_reference,auth_service.py,8,SECP256R1,ECC,signing_key_agreement,high,high,80,high,ECC signatures and ECDH key agreement are quantum-vulnerable public-key cryptography.,Identify protocol owners and track standards-approved PQC or hybrid replacements for signing and key agreement.
rsa_private_key_marker,auth_service.py,10,-----BEGIN RSA PRIVATE KEY-----,RSA,private_key,critical,high,100,critical,Private RSA keys are directly impacted by cryptographically relevant quantum computers and are high-value migration inventory.,"Locate the owning service, rotate exposed sample material if needed, and plan migration to approved PQC or hybrid key establishment/signature approaches."
rsa_tls_cert_config,auth_service.py,10,RSA,RSA,tls_certificate,high,high,95,critical,TLS certificates and RSA-authenticated ciphersuites are priority assets for PQC transition planning.,"Inventory certificate issuers, validity windows, renewal automation, and hybrid/PQC certificate roadmap."
rsa_tls_cert_config,auth_service.py,12,RSA,RSA,tls_certificate,high,high,95,critical,TLS certificates and RSA-authenticated ciphersuites are priority assets for PQC transition planning.,"Inventory certificate issuers, validity windows, renewal automation, and hybrid/PQC certificate roadmap."
jwt_classical_algorithms,auth_service.py,17,JWT_ALGORITHM,JWT public-key signatures,jwt_signing,high,high,100,critical,JWT signing algorithms protect authentication and authorization tokens and are high-priority migration inventory.,"Identify issuers, verifiers, key rotation flows, and standards-compatible PQC or hybrid token signing options."
